Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TRUSG10M,GFD Indices USA 10-year Government Bond Total Return Index,GFD Indices - Total Returns,United States Dollar,United States,,,,,,,Index Number ,Units,Stock,none,Monthly From Jul 1786 To Oct 2022<BR>,"Sources: Sydney Homer, A History of Interest Rates, Princeton: Rutgers, 1963 from Joseph G. Martin, Martin's Boston Stock Market, Boston: 1886 (1800-1862), Hunt's Merchants Magazine (1843-1853), The Economist (1854-1861), The Financial Review (1862-1918), Federal Reserve Bank, National Monetary Statistics, New York: FRB, 1941, 1970 (annually thereafter); and Salomon Brothers, Analytical Record of Yields and Yield Spreads, New York: Saloman Brothers, 1995<br />Notes: Current yields on the 6s of 1790 are used from 1800 through 1822, on the 6s of 1814-1827 are used from 1823 until 1829, and the 5s of 1821-1835 are used from 1830 to 1834. The Federal government completely paid off its debt in the 1830s, so the Boston City 5s are used from 1835 through 1841. The 6s of 1842-1863 are used from 1841 through 1845, and the 6s of 1848-1868 from 1846 to 1862. Data are taken from Hunt's Merchant's Magazine and are periodic with the previous month's quotation used where none is available for 1843, 1844 and 1846 through June 1848. Data are monthly from July 1848 through 1853 using NYSE quotations. Data for 1854 through 1857 are taken from The Economist with NYSE quotations used for 1854 and 1855, and London quotations for 1856 and 1857. The United States yield data are monthly from February 1862 until December 1933, and weekly thereafter. The annual data are taken from Joseph G. Martin, Martin's Boston Stock Market, Boston: 1886. From February 1862 until December 1877, the 6% U.S. Government bonds of 1881 are used. From January 1878 until January 1895, the 4% U.S. Government Bonds of 1907 are used, and from February 1895 until September 1917, the 4% U.S. Government Bonds of 1925 are used. Where no trades were recorded during a given month, the previous month's yield was used. The source for this data is William B. Dana Co., The Financial Review, New York: William B. Dana Co. (1872-1921) which reprinted data published by The Commercial and Financial Chronicle. The 4% Liberty Bonds are used from October 1917 through December 1918, and beginning in 1919, the Federal Reserve Board's 10-15 year Treasury Bond index is used. 10 year bonds are used beginning in 1941.",
Date,Ticker,Open,High,Low,Close
01/31/1920,TRUSG10M,70.0685694,70.0685694,70.0685694,70.0685694
02/29/1920,TRUSG10M,69.7082579,69.7082579,69.7082579,69.7082579
03/31/1920,TRUSG10M,69.7862681,69.7862681,69.7862681,69.7862681
04/30/1920,TRUSG10M,69.0660442,69.0660442,69.0660442,69.0660442
05/31/1920,TRUSG10M,67.7947813,67.7947813,67.7947813,67.7947813
06/30/1920,TRUSG10M,68.3184702,68.3184702,68.3184702,68.3184702
07/31/1920,TRUSG10M,68.4767464,68.4767464,68.4767464,68.4767464
08/31/1920,TRUSG10M,68.2715841,68.2715841,68.2715841,68.2715841
09/30/1920,TRUSG10M,69.8636091,69.8636091,69.8636091,69.8636091
10/31/1920,TRUSG10M,72.0914336,72.0914336,72.0914336,72.0914336
11/30/1920,TRUSG10M,71.6762053,71.6762053,71.6762053,71.6762053
12/31/1920,TRUSG10M,70.9456278,70.9456278,70.9456278,70.9456278
01/31/1921,TRUSG10M,72.2003109,72.2003109,72.2003109,72.2003109
02/28/1921,TRUSG10M,72.2371062,72.2371062,72.2371062,72.2371062
03/31/1921,TRUSG10M,72.6106651,72.6106651,72.6106651,72.6106651
04/30/1921,TRUSG10M,73.0977425,73.0977425,73.0977425,73.0977425
05/31/1921,TRUSG10M,73.3605733,73.3605733,73.3605733,73.3605733
06/30/1921,TRUSG10M,73.568466,73.568466,73.568466,73.568466
07/31/1921,TRUSG10M,73.9483057,73.9483057,73.9483057,73.9483057
08/31/1921,TRUSG10M,74.5009815,74.5009815,74.5009815,74.5009815
09/30/1921,TRUSG10M,75.4026607,75.4026607,75.4026607,75.4026607
10/31/1921,TRUSG10M,77.437649,77.437649,77.437649,77.437649
11/30/1921,TRUSG10M,78.9020099,78.9020099,78.9020099,78.9020099
12/31/1921,TRUSG10M,80.2601051,80.2601051,80.2601051,80.2601051
01/31/1922,TRUSG10M,80.6845353,80.6845353,80.6845353,80.6845353
02/28/1922,TRUSG10M,80.6644068,80.6644068,80.6644068,80.6644068
03/31/1922,TRUSG10M,81.5449511,81.5449511,81.5449511,81.5449511
04/30/1922,TRUSG10M,82.6914579,82.6914579,82.6914579,82.6914579
05/31/1922,TRUSG10M,83.1180703,83.1180703,83.1180703,83.1180703
06/30/1922,TRUSG10M,83.5455378,83.5455378,83.5455378,83.5455378
07/31/1922,TRUSG10M,84.5088638,84.5088638,84.5088638,84.5088638
08/31/1922,TRUSG10M,84.9352732,84.9352732,84.9352732,84.9352732
09/30/1922,TRUSG10M,84.7543989,84.7543989,84.7543989,84.7543989
10/31/1922,TRUSG10M,84.3116069,84.3116069,84.3116069,84.3116069
11/30/1922,TRUSG10M,84.4128715,84.4128715,84.4128715,84.4128715
12/31/1922,TRUSG10M,84.7845897,84.7845897,84.7845897,84.7845897
